order_id,order_date,region,channel,category,product,customer_id,quantity,unit_price,discount_rate,status
SO202600042,2026/06/12,华东区,线下门店,户外,保温壶,C1120,3, 860.37 ,0.05,已完成
SO202600043,2026-02-23,,直播间,家居,香薰机,C1111,8,266.65,0.2,已完成
SO202600044,2026-02-28,north ,线下门店,数码,移动电源,C1371,7,506.02,0.3,已完成
SO202600045,2026-04-15,西区,线下门店,数码,移动电源,C1212,3,251.73,0.05,已发货
SO202600046,2026-01-12,华南区,第三方平台,家电,扫地机器人,C1137,5, 830.77 ,0.15,已完成
SO202600047,2026-02-11,north ,线下门店,家电,空气炸锅,C1039,1200,497.22,0.05,已发货
SO202600048,2026-06-11,east,自营商城,家电,空气炸锅,C1263,8,778.19,0,已完成
SO202600049,13-02-2026,华北区,直播间,家电,扫地机器人,C1292,3,892.69,0.3,已完成
SO202600050,2026年5月14日,South,直播间,数码,无线耳机,C1042,6,891.34,0.1,已完成
SO202600051,2026年7月26日,华南区,第三方平台,户外,保温壶,C1261,2, 201.96 ,0.2,已完成
SO202600052,08-03-2026,华 东,第三方平台,家居,记忆棉枕,C1173,6,619.19,0.1,已完成
SO202600053,2026-01-22, 华东 ,第三方平台,户外,折叠椅,C1026,5,-199.00,0.05,已完成
SO202600054,25-06-2026,华北,第三方平台,数码,智能手表,C1071,3,¥90.41,0,已发货
SO202600055,2026-03-31,华 东,直播间,户外,折叠椅,C1092,5,850.90,0,已完成
SO202600056,2026-04-04, 华东 ,第三方平台,数码,无线耳机,C1163,4, 754.08 ,0.3,已完成
SO202600057,2026-01-20,华北区,线下门店,数码,无线耳机,C1270,3,123.28,0,已完成
SO202600058,2026-04-07,South,线下门店,家电,扫地机器人,C1277,5,238.01,0,已完成
SO202600059,2026-02-15,华 东,第三方平台,家电,扫地机器人,C1025,8,645.71,1.5,已完成
SO202600060,03-07-2026,华东区,线下门店,数码,无线耳机,C1004,5,680.32,0,已发货
SO202600061,2026-10-24,华北,线下门店,户外,折叠椅,C1279,7, 693.98 ,0.15,已发货
SO202600062,2026年3月28日,华东,线下门店,数码,无线耳机,C1295,2, 537.48 ,0.1,已完成
SO202600063,31-01-2026,西区,直播间,家居,记忆棉枕,C1022,7,253.75,0.2,已完成
SO202600064,2026/02/19,西区,线下门店,数码,智能手表,C1336,3, 422.72 ,0.15,已发货
SO202600065,2026-01-15,north ,线下门店,户外,保温壶,C1228,1,¥702.23,0,已完成
SO202600066,2026-07-12,西部,线下门店,户外,保温壶,C1178,2,330.74,0,已完成
SO202600067,2026-03-27,North,自营商城,数码,移动电源,C1297,1,394.54,0.1,已完成
SO202600068,2026年3月25日,西区,第三方平台,家电,破壁机,C1381,7,743.22,0.05,已发货
SO202600069,2026-07-18,east,直播间,家电,扫地机器人,C1338,3,262.28,0.15,已完成
SO202600070,2026/06/18,North,第三方平台,户外,折叠椅,C1368,3,65.04,0.05,已完成
SO202600071,2026/02/11,华南区,第三方平台,家居,收纳箱,C1364,4,¥590.23,0.2,已完成
SO202600072,2026-03-12,West,直播间,数码,智能手表,C1322,4,¥435.79,0.2,已完成
SO202600073,2026-01-14,north ,线下门店,数码,智能手表,C1334,8,649.98,0,已发货
SO202600074,2026-01-10,east,自营商城,户外,保温壶,C1160,-,348.96,0.1,已完成
SO202600075,2026/01/06,华北区,直播间,家居,记忆棉枕,C1087,6,213.13,0,已完成
SO202600076,2026-04-12,华东,自营商城,家电,空气炸锅,C1195,4,304.02,0.05,已完成
SO202600077,19-03-2026,West,直播间,家居,香薰机,C1190,1, 532.24 ,0,已完成
SO202600078,2026-07-26,West,线下门店,家电,扫地机器人,C1053,2, 420.58 ,0.05,已发货
SO202600079,2026-06-11,华东,自营商城,家电,空气炸锅,C1020,7,503.49,0.15,已完成
SO202600080,2026年4月6日,North,第三方平台,家居,记忆棉枕,C1179,1,¥356.89,0,已发货
SO202600081,2026-04-11,西区,自营商城,家居,记忆棉枕,C1211,2, 601.59 ,0.3,已完成
SO202600082,2026-07-31, 华东 ,线下门店,家电,扫地机器人,C1075,3,,0,已完成
SO202600083,2026-06-30, 华东 ,线下门店,户外,保温壶,C1383,2,280.45,0.15,已完成
SO202600084,2026年2月6日,华南,第三方平台,户外,折叠椅,C1240,8, 248.89 ,0.2,已发货
SO202600085,2026-03-03,华东,直播间,数码,无线耳机,C1335,2,564.99,0.2,已完成
SO202600086,2026-03-02, ,直播间,数码,智能手表,C1231,6, 81.79 ,0.15,已发货
SO202600087,2026年2月17日,西区,直播间,户外,折叠椅,C1007,7,868.54,0.3,已完成
SO202600088,2026-05-06,east,自营商城,家居,香薰机,C1276,3,748.06,0.15,已发货
SO202600089,08-07-2026,西部,第三方平台,户外,折叠椅,C1317,2,373.66,0,已完成
SO202600090,2026-06-14,North,第三方平台,数码,无线耳机,C1084,3,¥852.96,0.15,已完成
SO202600091,27-04-2026,西部,第三方平台,家居,香薰机,C1331,3, 186.54 ,0.05,已完成
SO202600092,2026-07-21,华 东,自营商城,户外,折叠椅,C1029,7,677.74,,已完成
SO202600093,2026-06-20,西部,直播间,户外,保温壶,C1082,3,136.67,0.3,已发货
SO202600094,2026-02-25,north ,第三方平台,家电,破壁机,C1355,9999,472.06,0.05,已完成
SO202600095,2026-04-04,north ,线下门店,家居,记忆棉枕,C1352,3, 464.07 ,0.1,已发货
SO202600096,2026-01-13,West,直播间,家电,空气炸锅,C1299,3,462.94,0.15,已完成
SO202600097,29-05-2026,华北区,第三方平台,家电,扫地机器人,C1124,3,708.11,0.1,已发货
SO202600098,2026年6月2日,North,直播间,家居,记忆棉枕,C1134,3,692.84,0,已完成
SO202600099,2026-05-09,north ,第三方平台,数码,智能手表,C1279,1,¥726.44,,已完成
SO202600100,2026-04-12, 华东 ,线下门店,户外,折叠椅,C1322,5, 212.81 ,0.05,已发货
SO202600101,2026-04-05,华北,线下门店,家居,香薰机,C1028,7,¥539.97,0,已发货
SO202600102,2026-07-07,华 东,直播间,数码,移动电源,C1360,6, 805.97 ,0,已发货
SO202600103,2026-05-10,West,直播间,家电,空气炸锅,C1130,8,537.58,0,已完成
SO202600104,18-04-2026,华东区,第三方平台,家电,空气炸锅,C1217,3, 186.93 ,0.2,已完成
SO202600105,2026-03-13,north ,直播间,户外,登山杖,C1123,2,¥50.07,0,已完成
SO202600106,2026年5月12日,north ,直播间,家居,收纳箱,C1207,5,0.00,0.1,已完成
SO202600107,2026/07/05,West,直播间,家电,扫地机器人,C1106,4,189.66,0.05,已发货
SO202600108,2026-03-15,east,直播间,家电,扫地机器人,C1317,7,350.57,0.1,已完成
SO202600109,2026-06-04,West,自营商城,家居,收纳箱,C1164,4,620.97,0.15,已发货
SO202600110,2026-07-01,华 东,直播间,户外,登山杖,C1023,5,444.14,0.05,已完成
SO202600111,2026年5月21日,西部,直播间,户外,折叠椅,C1337,null,388.81,0.2,已完成
SO202600112,10-02-2026,North,自营商城,户外,保温壶,C1040,8,577.67,0,已完成
SO202600113,2026-02-21,华北,自营商城,家居,香薰机,C1209,4,¥279.83,0.1,已完成
SO202600114,2026-06-09,华南区,自营商城,家电,扫地机器人,C1255,6, 575.55 ,0.2,已完成
SO202600115,11-07-2026,西区,直播间,家电,破壁机,C1187,5, 832.10 ,0,已完成
SO202600116,2026-04-29,华南区,直播间,家电,破壁机,C1209,5,625.33,0.15,已完成
SO202600117,15-07-2026,西区,第三方平台,数码,无线耳机,C1205,4,¥147.77,0.05,已完成
SO202600118,2026/03/02,East,直播间,家电,扫地机器人,C1005,6,88.89,0.95,已发货
SO202600119,2026年4月18日,西区,直播间,家电,扫地机器人,C1064,1,778.12,0.1,已完成
SO202600120,29-05-2026,西部,直播间,家电,空气炸锅,C1067,6,511.65,0,已完成
SO202600121,2026-02-26,north ,第三方平台,家居,香薰机,C1145,5,312.35,0.1,已发货
SO202600122,2026-08-26,西区,第三方平台,户外,登山杖,C1182,5,318.03,0.3,已发货
SO202600123,2026/01/29,西区,自营商城,户外,保温壶,C1100,3,N/A,0,已完成
SO202600124,07-04-2026,east,直播间,家居,收纳箱,C1003,3,695.94,0,已完成
SO202600107,2026/07/05,West,直播间,家电,扫地机器人,C1106,4,189.66,0.05,已发货
SO202600125,2026-05-13, 华东 ,第三方平台,户外,保温壶,C1031,8,615.30,0,已完成
SO202600126,2026-02-03,South,线下门店,户外,折叠椅,C1218,6, 71.27 ,0,已完成
SO202600127,2026-07-31,西部,直播间,户外,登山杖,C1151,2,767.61,0,已完成
SO202600128,2026年3月16日,西部,自营商城,数码,移动电源,C1299,5,567.62,0,已完成
SO202600129,2026年4月7日,,直播间,家居,香薰机,C1024,2,892.25,0.2,已完成
SO202600130,2026年1月13日,西区,直播间,家居,香薰机,C1378,5,¥740.81,0.15,已完成
SO202600131,2026-02-01,north ,直播间,家居,香薰机,C1266,8,135.38,0.15,已完成
SO202600132,2026-03-26,华北,自营商城,家电,破壁机,C1198,4,473.65,0.05,已完成
SO202600133,2026-05-29,华东区,第三方平台,数码,移动电源,C1112,8,834.08,0.3,已完成
SO202600134,2026-01-08,West,线下门店,户外,登山杖,C1127,5, 353.67 ,0,已发货
SO202600135,2026年7月30日,north ,线下门店,家电,破壁机,C1027,4,53.56,,已完成
SO202600136,2026年5月30日,华北,第三方平台,家电,空气炸锅,C1255,1,452.78,0.15,已完成
SO202600137,2026-07-07,华东区,直播间,家居,香薰机,C1011,5,702.83,0.05,已完成
SO202600138,25-06-2026, 华东 ,自营商城,数码,无线耳机,C1062,1,242.34,0,已完成
SO202600139,2026/07/03,South,直播间,家电,破壁机,C1003,3,810.58,,已完成
SO202600140,2026-07-09,South,线下门店,户外,折叠椅,C1165,7,420.94,0.05,已完成
SO202600141,2026-01-26,West,第三方平台,数码,智能手表,C1103,0,¥557.91,0.1,已完成
SO202600142,2026/03/30,华北区,第三方平台,户外,保温壶,C1077,5,565.67,0,已完成
SO202600143,2026-01-06,西区,直播间,数码,移动电源,C1122,7,¥290.52,0.15,已完成
SO202600144,2026-03-13,South,直播间,家电,扫地机器人,C1300,8, 541.29 ,0.3,已发货
SO202600145,2026-07-25,西部,直播间,户外,登山杖,C1078,3,¥739.91,0.1,已发货
SO202600146,2026/03/15,西区,直播间,家居,香薰机,C1356,7,¥262.64,0.15,已完成
SO202600140,2026-07-09,South,线下门店,户外,折叠椅,C1165,7,420.94,0.05,已完成
SO202600147,2026-07-23, 华东 ,直播间,家电,破壁机,C1311,2,118.43,0.1,已完成
SO202600087,2026年2月17日,西区,直播间,户外,折叠椅,C1007,7,868.54,0.3,已完成
SO202600148,2026-02-11,华北区,自营商城,家电,扫地机器人,C1229,NA,594.20,0,已发货
SO202600149,28-07-2026,north ,线下门店,户外,折叠椅,C1374,4,686.19,0.3,已完成
SO202600150,2026年3月10日,西部,第三方平台,数码,智能手表,C1382,1,¥415.07,0,已完成
SO202600151,2026年2月3日, 华东 ,第三方平台,户外,保温壶,C1272,6,¥429.11,0,已完成
SO202600152,2026/06/22,华北区,第三方平台,家居,香薰机,C1304,4,895.19,0.2,已完成
SO202600153,2026-03-20,华南,第三方平台,家居,记忆棉枕,C1070,7,¥315.89,0.05,已完成
SO202600154,2026-03-01,South,线下门店,家电,破壁机,C1334,4, 332.10 ,0,已发货
SO202600155,20-03-2026,east,自营商城,数码,无线耳机,C1183,1,715.46,0.05,已完成
SO202600156,10-02-2026,South,第三方平台,数码,移动电源,C1060,6,¥553.01,0.05,已完成
SO202600157,2026-01-25,East,直播间,数码,智能手表,C1015,3,559.27,0.3,已完成
SO202600158,28-07-2026,西区,第三方平台,户外,折叠椅,C1203,2,493.83,0.1,已完成
SO202600159,2026-02-22,North,第三方平台,户外,登山杖,C1195,4,0.00,0,已完成
SO202600160,2026-01-19,西区,第三方平台,家电,扫地机器人,C1332,1,884.04,0.15,已完成
SO202600161,2026年7月5日,西部,自营商城,户外,登山杖,C1375,8,734.85,0.1,已完成
SO202600162,2026/04/20,西区,线下门店,户外,折叠椅,C1252,6,657.71,0.1,已完成
SO202600163,2026年5月10日,华南,直播间,数码,无线耳机,C1324,7, 517.70 ,0,已完成
SO202600164,2026-02-09,华 东,第三方平台,数码,无线耳机,C1394,1,N/A,0.3,已完成
SO202600165,2026-01-07,华北区,自营商城,家居,记忆棉枕,C1073,5,¥49.12,0,已完成
SO202600166,2026-05-23,华东,自营商城,户外,登山杖,C1180,2,110.44,0.2,已完成
SO202600167,2026-01-02,华南区,第三方平台,数码,移动电源,C1036,5,¥392.19,0.1,已完成
SO202600168,2026-02-22,North,自营商城,家居,收纳箱,C1346,2,¥622.92,0.3,已发货
SO202600169,24-05-2026,South,线下门店,家电,扫地机器人,C1171,2,¥529.60,0.15,已完成
SO202600170,2026/03/03,South,线下门店,家居,香薰机,C1235,4,156.73,0,已完成
SO202600171,08-02-2026,华南区,自营商城,数码,智能手表,C1258,1, 575.38 ,0,已完成
SO202600172,2026年1月1日,NA,第三方平台,数码,智能手表,C1298,2,572.75,0,已完成
SO202600055,2026-03-31,华 东,直播间,户外,折叠椅,C1092,5,850.90,0,已完成
SO202600173,2026年7月16日,West,自营商城,家电,扫地机器人,C1086,2,186.21,0.2,已完成
SO202600174,2026-04-18,North,自营商城,户外,保温壶,C1009,4,116.78,0,已完成
SO202600175,22-05-2026,西部,线下门店,家电,扫地机器人,C1089,1,¥813.35,0,已完成
SO202600176,2026-02-17,South,线下门店,家居,记忆棉枕,C1230,2, 794.69 ,0.2,已完成
SO202600177,2026-01-22,East,自营商城,家电,破壁机,C1008,7, 131.22 ,1.5,已完成
SO202600178,2026-04-22,South,自营商城,家居,香薰机,C1353,8,¥632.12,0.3,已完成
SO202600179,2026-06-23,华东区,直播间,户外,登山杖,C1299,8,¥259.96,0.1,已发货
SO202600180,2026-05-18,South,线下门店,家电,破壁机,C1234,8, 877.04 ,0,已完成
SO202600181,2026-02-22,华东,自营商城,家居,香薰机,C1130,5,¥553.56,0,已发货
SO202600182,2026-02-09,华南,第三方平台,数码,移动电源,C1247,6,685.09,0.2,已完成
SO202600183,0000-00-00,east,第三方平台,数码,无线耳机,C1040,2,56.15,0.1,已完成
SO202600184,2026/03/05,华南区,自营商城,户外,保温壶,C1323,5, 490.36 ,0,已完成
SO202600185,12-06-2026,西区,第三方平台,数码,无线耳机,C1089,null,84.45,0,已完成
SO202600186,2026-03-19,north ,线下门店,户外,保温壶,C1205,1,131.49,0,已发货
SO202600187,2026-03-08,华北,第三方平台,数码,智能手表,C1330,8,¥403.17,0.2,已完成
SO202600188,2026-03-30,North,直播间,家电,空气炸锅,C1117,0,¥858.15,0.15,已完成
SO202600189,2026-02-21,华南,线下门店,数码,移动电源,C1308,2,430.69,0.3,已发货
SO202600190,2026年1月26日,华南区,直播间,家居,香薰机,C1005,4, 405.80 ,0.2,已完成
SO202600191,2026年3月5日, 华东 ,第三方平台,家电,空气炸锅,C1169,7,557.51,0.15,已完成
SO202600192,2026-05-30,华北区,第三方平台,户外,保温壶,C1083,2, 576.84 ,0.3,已完成
SO202600193,2026-01-25,South,第三方平台,数码,智能手表,C1336,6,367.61,0.3,已发货
SO202600194,29-03-2026,西区,自营商城,户外,保温壶,C1239,2,389.77,0.2,已发货
SO202600195,2026-07-11,华北,自营商城,家电,扫地机器人,C1138,4,313.22,0.05,已完成
SO202600196,2026年4月30日,华南区,第三方平台,家电,破壁机,C1313,4,¥510.50,0.2,已完成
SO202600197,2026年6月30日, 华东 ,自营商城,家电,破壁机,C1138,5,554.90,0.2,已完成
SO202600198,2026-06-01,华南,第三方平台,家居,收纳箱,C1056,2,458.74,0,已完成
SO202600199,2026-01-23,North,线下门店,数码,智能手表,C1319,8, 815.40 ,0.2,已完成
SO202600200,2026/05/12,east,自营商城,家居,香薰机,C1254,1,878.80,0.3,已完成
SO202600201,2026-02-09,华南,第三方平台,家居,记忆棉枕,C1143,4,323.53,0.3,已完成
SO202600202,2026年5月10日,华北区,第三方平台,数码,无线耳机,C1350,7,264.50,0,已完成
SO202600203,2026-02-18,华东,线下门店,家电,空气炸锅,C1008,5,800.23,0.1,已发货
SO202600204,2026-04-10,华 东,自营商城,户外,保温壶,C1041,5,840.72,0,已完成
SO202600205,2026-04-02,华东,自营商城,户外,保温壶,C1211,6,,0.3,已完成
SO202600206,2026年4月27日,华南区,直播间,数码,移动电源,C1326,8, 694.98 ,0.05,已完成
SO202600207,2026-06-20,South,线下门店,户外,登山杖,C1339,8,305.88,0.15,已完成
SO202600208,2026/03/25,华北区,线下门店,家居,收纳箱,C1071,2,¥876.58,0.1,已完成
SO202600209,19-04-2026,西区,第三方平台,户外,折叠椅,C1321,6,684.83,0.2,已发货
SO202600210,2026/06/26, 华东 ,自营商城,数码,智能手表,C1388,5,841.24,0.05,已完成
SO202600211,2026-01-04,West,自营商城,户外,登山杖,C1132,5, 611.66 ,0,已完成
SO202600212,2026-07-07,华南,第三方平台,户外,登山杖,C1077,4,0.00,0.15,已发货
SO202600213,2026-07-18,华北区,直播间,家电,破壁机,C1328,5, 430.98 ,0.05,已完成
SO202600214,09-06-2026,South,直播间,家居,香薰机,C1049,7, 466.66 ,0.2,已完成
SO202600215,2026/04/02,,线下门店,数码,智能手表,C1390,1,¥133.62,0.3,已完成
SO202600216,07-02-2026,华 东,第三方平台,家电,破壁机,C1379,8,614.83,0.15,已完成
SO202600217,2026/01/25,West,线下门店,家居,记忆棉枕,C1311,4, 815.94 ,0.15,已完成
SO202600218,2026-07-30,西部,自营商城,家居,香薰机,C1351,2,519.04,0,已完成
SO202600219,2026-06-02,华东,直播间,家电,扫地机器人,C1162,4,871.53,0,已发货
SO202600220,2026-02-20,north ,直播间,数码,移动电源,C1031,1,639.21,0,已完成
SO202600221,2026-01-31,西部,第三方平台,家电,破壁机,C1016,6,154.85,0.1,已完成
SO202600222,2026-02-01,West,第三方平台,家居,收纳箱,C1089,-,816.46,0.2,已完成
SO202600223,16-01-2026,West,第三方平台,户外,折叠椅,C1069,7,257.21,0.3,已完成
SO202600224,10-03-2026,North,第三方平台,家居,收纳箱,C1034,1,¥811.32,0.2,已完成
SO202600225,2026年6月20日,华东区,自营商城,家电,空气炸锅,C1199,5,853.98,0.2,已发货
SO202600226,2026年3月28日,South,直播间,户外,保温壶,C1300,5,¥199.03,0.15,已发货
SO202600227,2026-05-20,华南,线下门店,户外,登山杖,C1251,1,584.35,0.1,已完成
SO202600228,2026-03-13,华东,第三方平台,家居,香薰机,C1238,4,611.72,0.05,已完成
SO202600229,05-05-2026,华东,自营商城,数码,移动电源,C1062,6,¥678.58,0.2,已完成
SO202600230,2026-06-28,South,线下门店,家居,记忆棉枕,C1359,2,675.42,0.05,已完成
SO202600231,2026/06/27,华东区,第三方平台,家居,香薰机,C1055,7,756.42,0,已完成
SO202600232,2026-05-13,华东区,自营商城,家居,收纳箱,C1130,8,¥684.75,0,已完成
SO202600233,2026年2月20日,西部,第三方平台,家居,记忆棉枕,C1181,6, 887.51 ,0.15,已完成
SO202600234,2026-06-12,West,第三方平台,家电,扫地机器人,C1370,7,165.33,0,已完成
SO202600235,2026/03/26,华东区,第三方平台,家居,记忆棉枕,C1174,0,332.83,0.3,已完成
SO202600236,2026-05-28,North,自营商城,家电,扫地机器人,C1188,6,720.08,-0.2,已完成
SO202600237,2026/05/30,华东,线下门店,数码,无线耳机,C1116,4,¥529.55,0.2,已完成
SO202600238,2026-05-14,华南区,直播间,家电,破壁机,C1140,2,228.29,,已完成
SO202600239,2026-04-20,east,自营商城,户外,折叠椅,C1161,1,433.42,0.05,已完成
SO202600240,15-04-2026,华东,线下门店,家居,收纳箱,C1326,8,125.99,0.3,已完成
SO202600241,26-04-2026,西部,线下门店,数码,智能手表,C1390,6,241.05,0.1,已完成
SO202600242,2026年7月15日, 华东 ,线下门店,家居,收纳箱,C1060,5, 57.77 ,0.05,已完成
SO202600243,2026-05-19,North,线下门店,家电,扫地机器人,C1394,4,738.73,0,已完成
SO202600244,2026-08-09,north ,第三方平台,家居,收纳箱,C1041,5, 369.24 ,0.05,已发货
SO202600245,2026-03-18,华东,直播间,家居,记忆棉枕,C1314,1, 809.15 ,0.2,已完成
SO202600246,15-01-2026,西部,自营商城,户外,登山杖,C1192,4,,0.2,已完成
SO202600247,2026-01-14,西部,直播间,家居,收纳箱,C1157,5,177.36,0.3,已发货
SO202600248,2026-07-08,north ,线下门店,家居,收纳箱,C1034,3,¥670.14,0.2,已完成
SO202600249,2026-02-07,华东区,第三方平台,数码,智能手表,C1198,4,¥611.04,0.15,已完成
SO202600250,2026/03/20,西部,线下门店,户外,登山杖,C1011,6,580.42,0.15,已完成
SO202600251,2026-04-09,西区,自营商城,家居,收纳箱,C1017,6,866.77,0,已发货
SO202600252,2026/01/23,South,自营商城,家电,扫地机器人,C1025,3, 282.98 ,0.3,已完成
SO202600253,2026年5月10日,South,直播间,家居,收纳箱,C1114,8,143.43,0,已完成
SO202600254,07-07-2026,华南区,第三方平台,数码,无线耳机,C1173,1,480.90,0.15,已完成
SO202600255,2026年2月17日,西部,直播间,家居,记忆棉枕,C1289,2,118.59,0,已完成
SO202600256,2026年1月24日,West,自营商城,户外,保温壶,C1140,1,¥124.09,0.3,已完成
SO202600257,17-02-2026,north ,第三方平台,户外,登山杖,C1214,7,129.58,0.15,已发货
SO202600258,2026-01-07, ,自营商城,户外,登山杖,C1153,1,536.91,0,已完成
SO202600259,2026年4月11日,North,自营商城,家电,破壁机,C1134,null,511.78,0.1,已完成
SO202600260,2026年1月5日,华南,第三方平台,户外,登山杖,C1204,6,505.41,0.05,已发货
SO202600261,2026-01-12,West,自营商城,家居,记忆棉枕,C1060,4,¥296.37,0.05,已完成
SO202600262,2026年5月21日,华北区,线下门店,数码,智能手表,C1143,5,¥495.77,0.3,已发货
SO202600263,2026年1月19日,east,线下门店,家居,记忆棉枕,C1237,7,129.47,0.05,已完成
SO202600264,2026年2月7日,华 东,直播间,数码,智能手表,C1093,4, 600.11 ,0.05,已发货
SO202600265,15-02-2026,华 东,自营商城,户外,登山杖,C1294,5,-199.00,0,已完成
SO202600266,2026-04-12,华南区,第三方平台,家居,收纳箱,C1064,8, 372.77 ,0,已发货
SO202600267,2026-01-21,西区,直播间,家居,香薰机,C1062,3, 704.32 ,0.05,已完成
SO202600268,2026/01/16,North,线下门店,家电,扫地机器人,C1359,5,¥244.08,0,已发货
SO202600269,2026-01-11,华北区,第三方平台,数码,无线耳机,C1269,4,¥481.22,0.05,已完成
SO202600270,2026-01-14,西区,自营商城,户外,登山杖,C1001,6,346.41,,已发货
SO202600271,2026/06/03,South,线下门店,户外,登山杖,C1024,5,331.93,0,已完成
SO202600272,2026年5月14日,西区,第三方平台,数码,无线耳机,C1355,1,212.31,0.3,已完成
SO202600273,30-05-2026,West,第三方平台,户外,保温壶,C1237,1, 595.56 ,0.1,已完成
SO202600274,2026/02/06,South,线下门店,数码,无线耳机,C1173,2, 284.17 ,0.2,已发货
SO202600275,2026-01-10,North,第三方平台,户外,折叠椅,C1137,8,39.24,0.2,已完成
SO202600276,2026-07-29,西部,直播间,户外,登山杖,C1252,1,60.64,0.05,已发货
SO202600277,2026-02-28,西区,自营商城,户外,登山杖,C1386,4,¥628.56,0,已完成
SO202600278,2026-06-23,华 东,直播间,家电,空气炸锅,C1071,1,347.16,0,已完成
SO202600279,2026-07-05,North,第三方平台,户外,保温壶,C1071,1,235.80,0,已完成
SO202600280,09-07-2026,华北区,第三方平台,家电,扫地机器人,C1265,7,¥439.85,0,已完成
SO202600281,2026-04-08,north ,第三方平台,户外,保温壶,C1328,3,781.65,0,已完成
SO202600282,02-07-2026,north ,第三方平台,数码,移动电源,C1337,1200,71.50,0,已发货
SO202600283,2026年1月19日,West,线下门店,家居,记忆棉枕,C1144,5,727.19,0,已完成
